type,name,median_tau_score,description,ts_pc,belongs_to,id,pc,target
CP,deracoxib,-17.82,cyclooxygenase inhibitor,"0.60, 0.18",,BRD-K68558722,"0.00, 0.00",PTGS2
CP,tyrphostin-AG-555,-17.89,"CDK inhibitor, epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor","1.20, 0.32",,BRD-K72783841,"0.00, 0.00","CDK2, EGFR"
CP,etazolate,-17.9,"phosphodiesterase inhibitor, alpha secretase activator, GABA receptor modulator","1.39, 0.44",,BRD-K64755930,"11.11, 11.11","GABRB3, PDE4A"
CP,nadolol,-18.06,adrenergic receptor antagonist,"1.47, 0.59",,BRD-A97454584,"0.00, 0.00","ADRB1, ADRB2, ADRB3"
CP,temefos,-18.06,cholinesterase inhibitor,"0.72, 0.23",,BRD-K51805276,"0.00, 0.00",
CP,rimantadine,-18.08,"acetylcholine channel inhibitor, unidentified pharmacological activity","1.86, 0.53",,BRD-A75479906,"0.00, 0.00",
CP,amoxicillin,21.38,"cell wall synthesis inhibitor, PBPA inhibitor","1.64, 0.45",,BRD-K55044200,"0.00, 0.00",SLC15A1
CP,NAN-190,21.32,serotonin receptor agonist,"1.16, 0.38",,BRD-K69195780,"0.00, 0.00","HTR1A, ADRA1A, ADRA1B, ADRA1D, HTR1F"
CP,oxcarbazepine,21.3,"voltage-gated sodium channel blocker, Sodium Channel  Blockers","1.35, 0.35",,BRD-K04196797,"0.00, 0.00","CYP2C19, CYP3A4, CYP3A5, SCN1A, SCN3A, SCN5A"
CP,hyperoside,21.28,"glucosidase inhibitor, free radical scavenger","2.08, 0.76",,BRD-K84955386,"12.50, 0.00","ACE, AKR1B1, GAA"
CP,imiquimod,21.24,"interferon inducer, toll-like receptor agonist, immunostimulant","1.31, 0.49",,BRD-K26657438,"0.00, 0.00","TLR7, TLR8"
CP,salmeterol,21.08,adrenergic receptor agonist,"0.56, 0.09",Beta-adrenergic receptor agonist,BRD-A01320529,"0.00, 0.00",ADRB2
CP,JTE-907,21.03,cannabinoid receptor inverse agonist,"1.17, 0.34",Cannabinoid receptor agonist,BRD-K63150726,"0.00, 0.00",CNR2
CP,buflomedil,20.97,"adrenergic receptor antagonist, calcium channel antagonist","1.24, 0.35",,BRD-K19462402,"0.00, 0.00",CACNA1C
CP,pheniramine,20.96,acetylcholine receptor antagonist,"0.61, 0.11",,BRD-A23072235,"10.00, 0.00",HRH1
CP,guanabenz,20.95,adrenergic receptor agonist,"0.84, 0.23",,BRD-K67847053,"10.00, 0.00","ADRA2A, ADRA2B, ADRA2C"
CP,BRD-K47448802,-16.88,acetylcholine receptor allosteric modulator,"1.60, 0.45",,BRD-K47448802,"0.00, 0.00",CHRM1
CP,IAA-94,-16.89,chloride channel blocker,"1.01, 0.19",,BRD-K85383046,"0.00, 0.00",
CP,ARC-239,-16.97,adrenergic receptor antagonist,"1.82, 0.45",,BRD-K93188295,"11.11, 0.00","ADRA2B, ADRA2A, ADRA2C"
CP,clobetasol,-16.98,glucocorticoid receptor agonist,"1.66, 0.70",,BRD-K10799896,"0.00, 0.00","NR3C1, PLA2G1B"
CP,digitoxin,-16.99,ATPase inhibitor,"2.18, 0.56",ATPase inhibitor,BRD-A93236127,"0.00, 0.00",ATP1A1
CP,exemestane,-17.02,aromatase inhibitor,"0.92, 0.28",,BRD-K33425534,"0.00, 0.00",CYP19A1
CP,BRD-K71427192,-17.09,XIAP inhibitor,"1.17, 0.19",,BRD-K71427192,"0.00, 0.00",XIAP
CP,estrone,-17.13,"estrogen receptor agonist, estrogenic hormone","0.68, 0.22",,BRD-A37959677,"0.00, 0.00","ESR1, ESR2"
CP,hexamethylenebisacetamide,-17.19,"differentiation inducer, NFKB inhibitor, AKT inhibitor","2.07, 0.75",,BRD-K04710043,"0.00, 0.00",
CP,halometasone,-17.26,"cytochrome P450 inhibitor, glucocorticoid receptor agonist, immunosuppressant","1.69, 0.53",Glucocorticoid receptor agonist,BRD-K33312228,"12.50, 12.50",NR3C1
CP,SC-560,20.9,cyclooxygenase inhibitor,"0.90, 0.25",,BRD-K14767410,"10.00, 10.00",PTGS1
CP,laudanosine,20.87,central nervous system agent,"1.32, 0.27",,BRD-A24817035,"0.00, 0.00",
CP,norepinephrine,20.85,"adrenergic receptor agonist, DNA inhibitor, free radical scavenger","1.61, 0.43",,BRD-A91555231,"0.00, 0.00","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB3, ADRB2, DRD1, DRD5, PAH, SLC18A1, SLC18A2"
CP,PQ-401,20.73,insulin growth factor receptor inhibitor,"0.66, 0.06",,BRD-K67537649,"10.00, 0.00",IGF1R
CP,iloprost,20.73,"platelet aggregation inhibitor, prostanoid receptor agonist, prostacyclin analog","0.84, 0.25",,BRD-A45664787,"20.00, 20.00","PTGIR, PTGER1, PTGER2, PDE4A, PDE4B, PDE4C, PDE4D, PLAT, PTGDR, PTGER3, PTGER4, PTGFR, TBXA2R"
CP,edaravone,20.66,free radical scavenger,"1.28, 0.38",,BRD-K35458079,"0.00, 0.00",BCL2
CP,mirtazapine,20.5,"adrenergic receptor antagonist, serotonin receptor antagonist","1.10, 0.35",,BRD-K83153774,"0.00, 0.00","ADRA2A, HTR2A, HTR2C, ADRA2C, HTR3A, ADRA1A, ADRA1B, ADRA1D, ADRA2B, ADRB1, ADRB2, DRD1, DRD2, DRD3, DRD5, HRH1, HRH3, HTR2B, HTR7, OPRK1, SLC6A2, SLC6A3, SLC6A4"
CP,dihydrosamidin,20.39,"nitric oxide production inhibitor, phospholipase inhibitor, platelet activating factor receptor antagonist","0.44, 0.09",,BRD-K63945320,"0.00, 0.00",
CP,RO-19-4605,20.28,GABA benzodiazepine site receptor inverse agonist,"0.72, 0.19",,BRD-K80778372,"0.00, 0.00","GABRA1, GABRA2, GABRA3, GABRA5"
CP,mammea-a,20.26,"cytotoxic, antibacterial","0.55, 0.08",,BRD-K92138166,"20.00, 20.00",
CP,isoquercetin,-16.1,"aldose reductase inhibitor, falcipain inhibitor","1.64, 0.66",,BRD-K73991644,"0.00, 0.00","AKR1B1, ACE"
CP,fursultiamine,-16.1,thiamine deriviative,"1.40, 0.47",,BRD-A71157293,"0.00, 0.00",
CP,eriodictyol,-16.21,"cytochrome P450 inhibitor, TRPM3 antagonist, xanthine oxidase inhibitor","1.48, 0.51",,BRD-A35033682,"0.00, 0.00","CYP1B1, NFE2L2, XDH"
CP,finasteride,-16.28,"5 alpha reductase inhibitor, androgen receptor antagonist, steroid 5alpha-reductase inhibitor","1.23, 0.25",,BRD-A83081521,"10.00, 10.00","SRD5A2, SRD5A1, AKR1D1, AR"
CP,tiotidine,-16.44,histamine receptor antagonist,"0.97, 0.36",,BRD-K11107424,"10.00, 0.00",HRH2
CP,bosentan,-16.51,endothelin receptor antagonist,"1.00, 0.30",,BRD-K74763371,"0.00, 0.00","EDNRB, EDNRA, ABCB1, CYP2C19, CYP3A4"
CP,GS-39783,-16.56,"GABA receptor modulator, GABA receptor positive allosteric modulator","0.49, 0.17",,BRD-K75478907,"10.00, 0.00",GABBR1
CP,lylamine,-16.56,cannabinoid receptor agonist,"1.65, 0.63",,BRD-K62289640,"0.00, 0.00",CNR1
CP,duloxetine,-16.73,"norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, norepinephrine transporter inhibitor, serotonin transporter (SERT) inhibitor, serotonin uptake inhibitor","0.49, 0.14",,BRD-K71103788,"0.00, 0.00","SLC6A2, SLC6A4, SLC6A3, HTR2A, HTR2C, HTR6"
CP,VU-0420363-1,-16.88,SARS coronavirus 3C-like protease inhibitor,"1.59, 0.39",,BRD-K59633790,"0.00, 0.00",
CP,IKK-2-inhibitor,20.25,"IKK inhibitor, syk inhibitor","0.81, 0.20",,BRD-K26373640,"0.00, 0.00",IKBKB
CP,BRD-K55055802,20.06,"membrane integrity inhibitor, membrane permeability inhibitor","2.01, 0.53",,BRD-K55055802,"0.00, 0.00","GABRA1, ADRA2B, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ"
CP,dihydroergotamine,20.04,"serotonin receptor agonist, adrenergic receptor partial agonist, dopamine receptor agonist","0.65, 0.16",,BRD-K72166146,"0.00, 0.00","HTR1D, HTR1B, ADRA2A, DRD2, HTR1E, HTR1F, HTR2B, HTR7"
CP,GW-5074,19.96,"RAF inhibitor, leucine rich repeat kinase inhibitor","0.53, 0.17",,BRD-K07859598,"0.00, 0.00","LRRK1, LRRK2, NTRK1, RAF1"
CP,BRD-A17664363,19.94,steroidogenic factor antagonist,"0.78, 0.15",,BRD-A17664363,"10.00, 10.00",NR5A1
CP,SKF-96365,19.88,"calcium channel blocker, cytochrome P450 inhibitor","0.49, 0.23",,BRD-A72703248,"10.00, 10.00","CYP3A4, TRPC1, PKD2, TRPC3, TRPC4, TRPC5, TRPV2"
CP,bromocriptine,19.81,"dopamine receptor agonist, dopamine receptor antagonist, prolactin secretion inhibitor","0.98, 0.35",,BRD-A80151636,"0.00, 0.00","DRD2, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, ADRA1A, ADRA1B, ADRA1D, HTR6, HTR7, PRL"
CP,BRD-A12633378,19.81,voltage-gated potassium channel activator,"0.90, 0.18",,BRD-A12633378,"0.00, 0.00","KCNQ4, KCNQ2"
CP,cisapride,19.69,"acetylcholine receptor agonist, serotonin receptor agonist","0.98, 0.18",,BRD-K59163477,"0.00, 0.00","HTR4, KCNH2, CYP2B6, CYP2C8, CYP3A5, CYP3A7, HTR2A, HTR3A"
CP,BIBU-1361,19.66,EGFR inhibitor,"1.69, 0.69",EGFR inhibitor,BRD-K49294207,"0.00, 0.00",EGFR
CP,oleoylethanolamide,-15.36,"Glucose-Dependent Insulinotropic Receptor (GDIR, GPR119)  Agonists, potassium channel blocker, PPAR receptor agonist","1.34, 0.52",,BRD-K66956375,"0.00, 0.00","CNR1, GPR119, GPR55, KCND3, PPARA"
CP,PF-04217903,-15.44,"c-Met inhibitor, hepatocyte growth factor receptor inhibitor","0.63, 0.16",,BRD-K73319509,"10.00, 10.00",MET
CP,brimonidine,-15.5,adrenergic receptor agonist,"0.86, 0.16",,BRD-K68264559,"0.00, 0.00","ADRA2A, ADRA2B, ADRA2C, AOX1"
CP,medroxyprogesterone,-15.53,progesterone receptor agonist,"1.18, 0.40",,BRD-K99615199,"0.00, 0.00","PGR, ESR1"
CP,PD-0325901,-15.64,"MEK inhibitor, MAP kinase inhibitor, protein kinase inhibitor","1.50, 0.58",,BRD-A50454580,"0.00, 0.00","MAP2K1, MAP2K2"
CP,quetiapine,-15.67,"dopamine receptor antagonist, serotonin receptor antagonist, adrenergic receptor antagonist, histamine receptor antagonist","1.34, 0.48",,BRD-K68867920,"0.00, 0.00","DRD2, HTR1A, HTR2A, DRD1, HRH1, HTR1D, HTR1E, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD3, DRD4, DRD5, HTR1B, HTR1F, HTR2C, HTR3A, HTR6, HTR7, SLC6A2"
CP,benzo(a)pyrene,-15.82,pro carcinogen that is metabolized to the DNA intercalating agent benzo(a)pyrene diol epoxide,"1.40, 0.43",,BRD-K09668667,"0.00, 0.00",
CP,methylprednisolone,-15.83,glucocorticoid receptor agonist,"1.44, 0.60",Glucocorticoid receptor agonist,BRD-K35240538,"0.00, 0.00",NR3C1
CP,piceid,-16.04,"glucosidase inhibitor, ICAM1 expression inhibitor, VCAM expression inhibitor, xanthine oxidase inhibitor","1.11, 0.41",,BRD-K14536225,"0.00, 0.00","GAA, XDH"
CP,CL-218872,-16.08,GABA receptor agonist,"1.31, 0.27",,BRD-K00662280,"0.00, 0.00","GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2"
CP,DH-97,19.62,melatonin receptor antagonist,"1.31, 0.50",,BRD-K06014311,"0.00, 0.00",MTNR1B
CP,KN-93,19.54,calcium/calmodulin dependent protein kinase inhibitor,"0.61, 0.08",,BRD-K93480852,"0.00, 0.00",CAMK2A
CP,L-755507,19.3,"adrenergic receptor agonist, adrenergic receptor partial agonist","0.58, 0.15",,BRD-A93206962,"0.00, 0.00","ADRB3, ADRB1, ADRB2"
CP,BRD-K72817452,19.25,lipoxygenase inhibitor,"1.63, 0.41",,BRD-K72817452,"0.00, 0.00",
CP,4-(2-Amino-ethyl)-benzenesulfonamide,19.2,carbonic anhydrase inhibitor,"1.06, 0.16",,BRD-K14643723,"0.00, 0.00","CA2, CA1, CA9, CA12, CA14, CA4"
CP,pravastatin,19.18,HMGCR inhibitor,"0.97, 0.33",,BRD-A71816415,"0.00, 0.00","HMGCR, SLCO1B1"
CP,hispidin,19.1,"beta secretase inhibitor, cyclooxygenase inhibitor, HIV integrase inhibitor, PKC inhibitor, prolyl endopeptidase inhibitor, xanthine oxidase inhibitor","1.05, 0.34",,BRD-K07325606,"0.00, 0.00","PREP, PRKCB, PTGS2, XDH"
CP,penicillic-acid,19.06,"bacterial quorum sensing inhibitor, caspase inhibitor","1.40, 0.55",,BRD-A43150328,"0.00, 0.00",
CP,mercaptopurine,19.02,"immunosuppressant, protein synthesis inhibitor, purine antagonist","1.15, 0.31",,BRD-K91601245,"0.00, 0.00","HPRT1, IMPDH1, IMPDH2, PPAT"
CP,epitestosterone,18.98,inactive testosterone analog,"0.63, 0.11",,BRD-A53131506,"0.00, 0.00","AKR1C1, AKR1C2, AR"
CP,erythrosine,-14.24,food coloring agent,"0.68, 0.19",,BRD-K14920963,"0.00, 0.00",
CP,iso-olomoucine,-14.3,cyclin-related kinase inhibitor,"1.30, 0.28",,BRD-K86509404,"0.00, 0.00",
CP,flavoxate,-14.38,acetylcholine receptor antagonist,"1.10, 0.34",,BRD-K47639036,"0.00, 0.00","CHRM1, CHRM2"
CP,BRD-K73610817,-14.44,apoptosis protein inhibitor,"1.99, 0.45",,BRD-K73610817,"0.00, 0.00",
CP,decafluorobutane,-14.53,ultrasound contrast agent,"1.15, 0.30",,BRD-K23623876,"0.00, 0.00",GRM5
CP,mesalazine,-14.89,"cyclooxygenase inhibitor, arylamine N-acetyltransferase inhibitor, beta catenin inhibitor, lipoxygenase inhibitor, prostanoid receptor inhibitor, protein phosphatase inhibitor, thromboxane receptor antagonist, thromboxane synthase inhibitor","1.17, 0.58",,BRD-K28849549,"0.00, 0.00","PTGS1, PPARG, PTGS2, ALOX5, CHUK, CTNNB1, IKBKB, MPO, NAT1"
CP,kitasamycin,-15.1,protein synthesis inhibitor,"1.08, 0.34",,BRD-K96134740,"0.00, 0.00",
CP,BRD-A89208012,-15.17,"prostanoid receptor antagonist, thromboxane receptor antagonist","1.56, 0.58",,BRD-A89208012,"0.00, 0.00",TBXA2R
CP,zaprinast,-15.24,"phosphodiesterase inhibitor, histamine release inhibitor","1.01, 0.34",,BRD-K12516989,"0.00, 0.00","PDE5A, GPR35, PDE1A, PDE4D, PDE9A"
CP,quinidine,-15.28,"cytochrome P450 inhibitor, P glycoprotein inhibitor, sodium current blocker","0.77, 0.24",,BRD-K59632282,"0.00, 0.00","SCN5A, ABCB1, CYP2D6, KCNA5, KCNA7, KCNH1, KCNH2, KCNH5, KCNK1, KCNK6, SLC29A4"
CP,JWH-015,18.95,cannabinoid receptor agonist,"1.25, 0.41",Cannabinoid receptor agonist,BRD-K17796732,"10.00, 10.00","CNR2, GPR55"
CP,NBQX,18.74,"glutamate receptor antagonist, kainate receptor antagonist","0.85, 0.19",,BRD-K47717570,"0.00, 0.00","GRIA1, GRIA2, GRIA3, GRIA4, GRIK1, GRIN1, GRIN2A, GRIN2B"
CP,voriconazole,18.74,"cell wall synthesis inhibitor, cytochrome P450 inhibitor, lanosterol demethylase inhibitor","1.18, 0.43",,BRD-K06557128,"0.00, 0.00","CYP2C19, CYP51A1"
CP,TFMPP,18.6,"serotonin receptor agonist, serotonin receptor antagonist","1.41, 0.39",,BRD-K94887716,"12.50, 0.00",
CP,cinnarizine,18.58,"calcium ion channel antagonist, histamine receptor antagonist","1.07, 0.45",,BRD-K07220430,"0.00, 0.00","HRH1, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD5"
CP,MDL-11939,18.53,serotonin receptor antagonist,"1.39, 0.53",,BRD-A62057054,"0.00, 0.00","HTR2A, HTR2B, HTR2C"
CP,PETCM,18.51,caspase activator,"0.94, 0.27",,BRD-A93477898,"22.22, 22.22",CASP3
CP,PF-3845,18.47,FAAH inhibitor,"0.69, 0.28",,BRD-K68997413,"0.00, 0.00",FAAH
CP,testosterone,18.43,"androgen receptor (AR) agonist, androgen receptor agonist, testosterone receptor agonist","0.84, 0.31",Androgen receptor modulator,BRD-A55393291,"0.00, 0.00","AR, CYP19A1, CYP2C19, CYP2C8, CYP3A5"
CP,fananserin,18.17,"dopamine receptor antagonist, serotonin receptor antagonist","1.20, 0.42",,BRD-K08998509,"0.00, 0.00","HTR2A, DRD4"
CP,ICI-118551,-13.41,adrenergic receptor antagonist,"1.08, 0.27",,BRD-A78942461,"11.11, 11.11",
CP,siguazodan,-13.42,"histamine receptor antagonist, phosphodiesterase inhibitor","1.13, 0.35",,BRD-A91992993,"0.00, 0.00",PDE3A
CP,ranitidine,-13.5,histamine receptor antagonist,"1.02, 0.31",,BRD-K30816563,"10.00, 0.00","HRH2, SLC22A2"
CP,CO-102862,-13.56,sodium channel blocker,"0.98, 0.20",,BRD-K08890269,"0.00, 0.00","SCN2A, SCN4A, SCN9A"
CP,forskolin,-13.58,"adenylyl cyclase activator, Adenylate cyclase stimulant, growth hormone receptor agonist, phosphokinase stimulant","0.85, 0.43",,BRD-K77830450,"10.00, 10.00","ADCY2, ADCY5, GNAS"
CP,andarine,-13.83,androgen receptor modulator,"1.08, 0.30",Androgen receptor modulator,BRD-K82164249,"0.00, 0.00",AR
CP,tribenoside,-13.96,vasoprotective agent,"1.05, 0.33",,BRD-A60294240,"0.00, 0.00",
CP,progesterone,-13.98,progesterone receptor agonist,"0.45, 0.11",Progesterone receptor agonist,BRD-K64994968,"0.00, 0.00","PGR, CYP17A1, NR3C2, CATSPER1, CATSPER2, CATSPER3, CATSPER4, CYP2C19, ESR1, OPRK1, TRPC5"
CP,clozapine,-14.05,"serotonin receptor antagonist, dopamine receptor antagonist, adrenergic receptor antagonist","0.73, 0.14","Dopamine receptor antagonist, Serotonin receptor antagonist",BRD-K37289225,"0.00, 0.00","DRD2, DRD4, ADRA1A, ADRA1B, CHRM1, DRD1, DRD3, HRH1, HRH4, HTR1A, HTR1B, HTR1D, HTR1E, HTR2A, HTR2C, HTR6, HTR7, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CALY, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD5, HTR1F, HTR2B, HTR3A, HTR5A"
CP,SB-218795,-14.22,tachykinin antagonist,"1.00, 0.34",,BRD-K61097567,"0.00, 0.00",TACR3
CP,indometacin,18.14,cyclooxygenase inhibitor,"1.18, 0.33",,BRD-K57222227,"11.11, 0.00","PTGS1, PTGS2, PPARG, PTGDR2, GLO1, PLA2G2A, PPARA, PTGR2, SLC46A1"
CP,A-443644,18.13,AKT inhibitor,"2.41, 0.84",,BRD-K38615104,"0.00, 0.00","AKT1, AKT2, AKT3, CDC42BPB, GSK3B, PHKG1, PKIA, PRKACA"
CP,DNQX,18.12,glutamate receptor antagonist,"1.00, 0.22",,BRD-K85266041,"0.00, 0.00","GRIA1, GRIA2, GRIK1, GRIN1, GRIN2A, GRIN2B"
CP,sibutramine,18.11,"serotonin reuptake inhibitor, adrenergic transmitter uptake inhibitor, dopamine reuptake inhibitor, norepinephrine reuptake inhibitor, norepinephrine transporter inhibitor, serotonin uptake inhibitor","0.98, 0.30",,BRD-A23359898,"0.00, 0.00","SLC6A2, SLC6A4, SLC6A3, CYP2B6, CYP2C19, CYP3A5"
CP,taxifolin,18.09,"apolipoprotein secretion inhibitor, beta amyloid aggregation inhibitor, cholesterol biosynthesis inhibitor, HMGCR inhibitor, NFkB pathway modulator, opioid receptor antagonist, reverse transcriptase inhibitor","1.88, 0.76",,BRD-K95808480,"0.00, 0.00","APOB, APP, HMGCR"
CP,tetryzoline,18.06,adrenergic receptor agonist,"1.32, 0.22",,BRD-A28856712,"0.00, 0.00",
CP,medetomidine,18.01,"adrenergic receptor agonist, MAP kinase inhibitor","1.22, 0.45",,BRD-A66563878,"0.00, 0.00","ADRA2A, ADRA2B, ADRA2C, ADRA1A, ADRA1B, ADRA1D"
CP,doxepin,17.93,"histamine receptor antagonist, adrenergic transmitter uptake inhibitor, histamine receptor inhibitor, norepinephrine reputake inhibitor, serotonin reuptake inhibitor, tricyclic antidepressant","0.76, 0.17",,BRD-K36616567,"10.00, 10.00","HRH1, HRH2, SLC6A2, SLC6A4, ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CYP2C19, DRD2, HRH4, HTR1A, HTR2A, HTR2B, HTR2C, HTR6, KCNH2, SLC6A3"
CP,tyrphostin-AG-494,17.87,"epidermal growth factor receptor (EGFR) inhibitor, tyrosine kinase inhibitor","0.81, 0.25",,BRD-K34533029,"10.00, 10.00",EGFR
CP,estradiol,17.81,estrogen receptor agonist,"0.34, 0.25",,BRD-K18910433,"10.00, 10.00","ESR1, ESR2, NR1I2, CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, GPER1, KCNMA1"
CP,eugenol,-12.32,"androgen receptor (AR) inhibitor, free radical scavenger, monoamine oxidase inhibitor, quorum sensing signaling modulator","0.91, 0.25",,BRD-K32977963,"11.11, 0.00","AR, MAOA"
CP,VU-0400193-3,-12.32,glutamate receptor modulator,"0.83, 0.27",,BRD-K84141129,"0.00, 0.00",GRM4
CP,suloctidil,-12.42,"adrenergic receptor antagonist, platelet aggregation inhibitor, vasodilator","0.72, 0.09",,BRD-K42635745,"0.00, 0.00",
CP,desoximetasone,-12.42,glucocorticoid receptor agonist,"1.03, 0.19",,BRD-A49447682,"0.00, 0.00","NR3C1, PLA2G1B"
CP,benproperine,-12.51,anti-tussive,"1.26, 0.35",,BRD-A42423104,"0.00, 0.00",
CP,zaldaride,-12.64,"calmodulin antagonist, calmodulin inhibitor","0.61, 0.16",,BRD-A26032986,"10.00, 10.00",CALM1
CP,talniflumate,-12.66,"cyclooxygenase inhibitor, calcium channel blocker, calcium-activated chloride channel blocker, mucin production inhibitor","1.20, 0.51",,BRD-A98378129,"10.00, 0.00",CLCA1
CP,dicycloverine,-12.71,"acetylcholine receptor antagonist, anticholinergic","0.75, 0.18",,BRD-K68507560,"10.00, 0.00","CHRM1, CHRM2, CHRM3"
CP,nalbuphine,-12.83,"opioid receptor agonist, opioid receptor antagonist","1.34, 0.40",,BRD-A16934955,"0.00, 0.00","OPRD1, OPRK1, OPRM1"
CP,M-3M3FBS,-13.07,phospholipase activator,"0.63, 0.10",,BRD-K09635314,"10.00, 0.00","PLCB2, PLCB3, PLCD1, PLCG1, PLCG2"
CP,BRD-K54331210,17.61,alkaline phosphatase inhibitor,"1.32, 0.35",,BRD-K54331210,"10.00, 10.00",ALPL
CP,prednisolone,17.57,glucocorticoid receptor agonist,"1.15, 0.44",Glucocorticoid receptor agonist,BRD-A27887842,"0.00, 0.00","NR3C1, NR3C2, SERPINA6"
CP,antimycin-a,17.56,"antibiotic, electron transfer inhibitor","1.01, 0.33",,BRD-A52886023,"10.00, 0.00",CYCS
CP,triciribine,17.5,AKT inhibitor,"1.63, 0.16",,BRD-A42649439,"10.00, 0.00","AKT1, AKT2, AKT3"
CP,lorazepam,17.49,"chloride channel agonist, GABA benzodiazepine site receptor agonist, GABA receptor agonist, potassium channel agonist","1.08, 0.33",Benzodiazepine receptor agonist,BRD-A11990600,"12.50, 12.50","GABRA1, GABRA2, GABRA3, GABRA5, GABRA4, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO"
CP,anpirtoline,17.44,"serotonin receptor agonist, serotonin receptor antagonist","1.08, 0.35",,BRD-K55424922,"0.00, 0.00","HTR1B, HTR3A"
CP,chlortetracycline,17.33,protein synthesis inhibitor,"1.30, 0.49",,BRD-A41555725,"0.00, 0.00",
CP,tranylcypromine,17.25,"cytochrome P450 inhibitor, histone lysine demethylase inhibitor, monoamine oxidase inhibitor","1.14, 0.30",,BRD-A43974575,"0.00, 0.00","MAOA, MAOB, KDM1A, CYP2A6"
CP,carpindolol,17.18,"adrenergic receptor antagonist, serotonin receptor antagonist","1.11, 0.32",Serotonin receptor antagonist,BRD-A15530910,"0.00, 0.00",
CP,WAY-170523,16.83,metalloproteinase inhibitor,"1.30, 0.38",,BRD-K36198571,"10.00, 0.00",MMP13
CP,sildenafil,-11,phosphodiesterase inhibitor,"0.58, 0.10",,BRD-K79759585,"0.00, 0.00","PDE5A, PDE6G, PDE6H, SLCO1B1, SLCO1B3"
CP,reserpic-acid,-11.09,norepinephrine transporter inhibitor,"0.93, 0.38",,BRD-K32755366,"0.00, 0.00",
CP,prochlorperazine,-11.1,"dopamine receptor antagonist, dopamine receptor","0.93, 0.16",Dopamine receptor antagonist,BRD-K19352500,"0.00, 0.00","DRD2, DRD1, DRD3, DRD4"
CP,BRD-K53780220,-11.35,"casein kinase inhibitor, FLT3 inhibitor","2.82, 0.91",,BRD-K53780220,"0.00, 0.00",
CP,FGIN-1-43,-11.58,benzodiazepine receptor ligand,"1.50, 0.53",,BRD-K66093087,"0.00, 0.00",TSPO
CP,limonin,-12.03,HIV protease inhibitor,"0.82, 0.22",,BRD-K05906022,"0.00, 0.00",
CP,calycanthine,-12.11,GABA release inhibitor,"0.83, 0.23",,BRD-K59851896,"0.00, 0.00",
CP,bromfenac,-12.12,cyclooxygenase inhibitor,"1.44, 0.48",,BRD-K47679368,"0.00, 0.00","PTGS1, PTGS2"
CP,ganglioside,-12.27,src activator,"0.86, 0.34",,BRD-K77998258,"0.00, 0.00",
CP,naltriben,-12.28,opioid receptor antagonist,"1.01, 0.31",,BRD-A21723284,"0.00, 0.00","OPRD1, OPRK1, OPRM1"
CP,masitinib,16.79,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, c-kit inhibitor, FGFR antagonist, FGFR inhibitor, tyrosine kinase inhibitor","0.80, 0.24",PDGFR/KIT inhibitor,BRD-K71035033,"0.00, 0.00","KIT, FGFR3, LYN, PDGFRA, PDGFRB"
CP,pidotimod,16.72,"interferon receptor agonist, interleukin receptor agonist, T cell stimulant","1.86, 0.65",,BRD-K44442813,"0.00, 0.00",
CP,benzoxiquine,16.62,topical anti-infective,"0.22, 0.07",,BRD-K70327191,"10.00, 10.00",
CP,"9-methyl-5H-6-thia-4,5-diaza-chrysene-6,6-dioxide",16.6,NFkB pathway inhibitor,"0.85, 0.25",,BRD-K14696368,"0.00, 0.00",RELA
CP,benzopurpurin-4b,16.51,binds HIV gp120 and inhibits HIV-1 entry into the neural cell line SK-N-MC,"1.14, 0.40",,BRD-K14221570,"10.00, 10.00",
CP,tyrphostin-AG-126,16.41,"ERK1 and ERK2 phosphorylation inhibitor, tyrosine kinase inhibitor","1.78, 0.40",,BRD-K67506692,"10.00, 10.00",
CP,BP-554,16.41,serotonin receptor agonist,"1.53, 0.40",,BRD-K45479396,"10.00, 10.00",HTR1A
